unique_carrier,origin,destination,is_delayed,departure_time,month,day_of_month,day_of_week,distance
TT,QTX,OMH,N,707,M-12,D-29,W-4,2217
MH,YTL,OMH,N,1903,M-1,D-30,W-1,853
BN,OPU,RVN,N,1335,M-9,D-9,W-5,528
MH,URX,YTL,N,611,M-7,D-6,W-4,1825
WT,PIH,RJB,N,1554,M-8,D-6,W-6,967
HL,OPU,MGF,N,610,M-11,D-12,W-6,596
NB,OMY,PQM,N,1020,M-6,D-14,W-2,919
NB,ORN,PTB,N,635,M-12,D-31,W-6,1728
NB,QTP,TCZ,Y,953,M-3,D-20,W-1,487
BN,OPU,RVN,N,1859,M-9,D-27,W-2,528
TT,HSR,QFT,N,943,M-6,D-23,W-5,733
IQ,UBP,TVQ,N,1005,M-5,D-5,W-4,272
HH,LQB,PQM,N,1501,M-12,D-10,W-6,402
XJ,YTL,ULX,N,2248,M-8,D-7,W-7,1009
AG,YTR,RTC,N,1925,M-4,D-9,W-7,703
OZ,RIN,TMV,N,2048,M-1,D-20,W-4,89
JG,TVQ,RVN,N,735,M-12,D-18,W-1,594
WP,UCY,MQV,N,1644,M-1,D-28,W-6,590
WP,RVN,MQV,Y,1347,M-12,D-29,W-5,500
NB,CNY,CRQ,N,930,M-10,D-25,W-2,283
HH,HSR,PAS,N,1752,M-5,D-9,W-2,607
HH,PQM,PWB,N,947,M-12,D-6,W-3,223
NB,PDM,QTX,N,1545,M-2,D-2,W-3,308
RQ,PQM,HBV,N,1126,M-7,D-7,W-4,558
HL,MLP,MGF,N,1120,M-5,D-18,W-3,497
JG,LPG,MGF,N,736,M-6,D-17,W-5,325
RQ,TVQ,RTA,Y,1300,M-2,D-15,W-2,432
MH,OMH,YTL,N,1303,M-5,D-24,W-3,853
TP,HTE,URX,N,1811,M-2,D-16,W-3,543
C6,CHP,RJB,N,2131,M-10,D-1,W-7,1754
NB,CWS,ULX,N,2115,M-12,D-20,W-2,369
NB,QTX,ULX,N,1056,M-2,D-1,W-3,370
HL,MGF,RIN,N,1327,M-10,D-14,W-6,812
TT,PVQ,IQQ,N,1338,M-11,D-18,W-5,1056
JG,TVQ,CZE,N,1611,M-11,D-12,W-7,238
OZ,QFT,SRW,Y,1231,M-3,D-13,W-1,431
NB,PQM,CNY,N,1324,M-11,D-12,W-7,1864
RQ,HBV,TVQ,N,659,M-4,D-5,W-3,1900
HL,DIE,DTX,N,1845,M-4,D-19,W-3,829
JG,TVQ,OAS,N,903,M-4,D-11,W-1,317
TT,RIN,ULX,N,1836,M-9,D-10,W-6,868
TT,RIN,RJB,N,933,M-7,D-8,W-6,641
NB,CRQ,CNY,N,852,M-6,D-27,W-2,283
JG,VWU,TVQ,N,1112,M-8,D-18,W-5,253
TP,PJT,PYV,N,1144,M-6,D-5,W-1,862
BN,QTX,RVN,N,820,M-10,D-22,W-6,1979
TP,PJT,HTE,N,920,M-8,D-20,W-7,671
OZ,HSR,RTA,N,1254,M-8,D-12,W-5,240
OZ,COY,HSR,N,1303,M-5,D-30,W-1,116
WT,RJB,FJF,N,1124,M-12,D-11,W-7,836
TT,RIN,PVQ,N,1256,M-5,D-21,W-6,551
NB,MQJ,PVQ,N,750,M-9,D-29,W-4,487
NB,QTP,ULX,N,1252,M-7,D-25,W-2,256
NB,ORN,RVN,Y,1130,M-8,D-4,W-4,229
HL,UYV,MGF,N,1203,M-1,D-24,W-2,256
RQ,TVQ,RMT,N,2128,M-12,D-2,W-5,547
IQ,ULI,OMH,N,1048,M-1,D-25,W-3,662
TT,YTL,HSR,N,743,M-6,D-25,W-7,925
NB,RTQ,LHW,N,1805,M-2,D-25,W-6,239
WP,MQV,SRW,N,1255,M-11,D-27,W-1,130
LU,QTP,VUT,Y,2316,M-1,D-26,W-3,1984
TT,RIN,VUT,N,838,M-6,D-9,W-5,929
WP,MQV,VUT,N,1227,M-9,D-21,W-3,508
NB,HTE,QTX,Y,1646,M-10,D-27,W-5,337
HH,PQM,ULX,N,814,M-3,D-5,W-6,507
BN,TCZ,OPU,N,834,M-4,D-25,W-2,981
NB,PTB,PDM,N,750,M-5,D-20,W-5,417
LU,RVN,ULX,N,1712,M-9,D-23,W-5,1671
WT,HSR,PDM,Y,2020,M-2,D-24,W-4,1829
HH,PIH,PQM,N,1455,M-12,D-5,W-2,599
HL,SHM,TVQ,N,1405,M-4,D-18,W-1,749
OZ,PFI,RIN,Y,944,M-12,D-20,W-3,364
OZ,RIN,UYV,N,1040,M-12,D-2,W-5,1068
XJ,TJX,YTL,N,552,M-12,D-31,W-6,190
TT,QTX,YTR,N,2258,M-9,D-14,W-3,2288
IQ,TVQ,SYM,N,1251,M-5,D-12,W-5,481
TT,PVQ,PBT,N,1349,M-6,D-5,W-1,1570
TT,RMT,HSR,N,1022,M-8,D-31,W-3,612
WP,ULQ,SRW,N,1800,M-12,D-31,W-6,336
RQ,MOL,TVQ,N,856,M-6,D-28,W-2,446
WP,MQV,CRQ,N,933,M-5,D-14,W-6,644
TT,OYT,PDW,N,1048,M-5,D-27,W-6,1045
MH,JNS,YTL,Y,2030,M-1,D-25,W-2,1400
NB,PVQ,RVN,N,2035,M-10,D-12,W-3,440
WT,HSR,PDM,N,1513,M-8,D-12,W-5,1829
HL,MGF,ULQ,N,1459,M-7,D-29,W-6,507
WT,HSR,TVQ,N,1333,M-8,D-3,W-4,606
RQ,PQM,VUT,N,1022,M-3,D-24,W-5,1887
NB,CWS,HTE,N,1655,M-1,D-17,W-2,325
NB,OMH,CNY,N,758,M-5,D-31,W-3,787
RL,YTR,DIE,Y,2002,M-3,D-27,W-7,228
WT,PJT,RJB,N,747,M-11,D-18,W-5,1024
WP,UYV,MQV,N,1118,M-5,D-9,W-1,366
NB,HTE,ORN,N,1225,M-2,D-6,W-1,1844
HH,PQM,FDV,N,1301,M-4,D-11,W-1,217
OZ,HSR,OEJ,N,1533,M-10,D-10,W-2,67
BN,RVN,OLV,N,1724,M-3,D-30,W-4,609
NB,HTE,HBV,N,845,M-2,D-14,W-2,361
NB,CBT,MOL,N,1130,M-8,D-26,W-5,338
OZ,RIN,HEM,Y,929,M-3,D-14,W-1,175
C6,VUT,DIE,Y,2221,M-12,D-27,W-3,1005
OZ,CHP,SRW,Y,1630,M-12,D-18,W-1,612
RL,FPU,YTR,N,1852,M-3,D-17,W-4,383
BN,OMY,OPU,N,911,M-6,D-24,W-5,393
TT,DIE,PDW,N,1559,M-6,D-28,W-3,1597
HL,RTA,MGF,N,820,M-10,D-30,W-7,64
OZ,QFT,RMT,N,1308,M-8,D-2,W-3,214
JG,TCJ,TVQ,N,1741,M-5,D-28,W-7,692
TT,HSR,RIN,N,600,M-7,D-11,W-2,802
NB,TWP,QTP,N,745,M-2,D-18,W-6,1090
BN,OPU,QPJ,N,1115,M-6,D-22,W-4,120
TP,EVB,DBW,N,2057,M-8,D-17,W-3,234
WT,OPA,QTX,Y,1046,M-2,D-10,W-4,1671
RQ,OMY,TVQ,N,1900,M-4,D-8,W-6,692
NB,CHY,QTP,Y,1630,M-12,D-1,W-4,520
NB,SBH,CHY,Y,1307,M-4,D-22,W-6,335
OZ,MQQ,RIN,N,631,M-4,D-5,W-2,164
BN,OPU,TBM,N,1131,M-12,D-21,W-4,2518
TP,PBT,HTE,Y,1337,M-8,D-26,W-5,371
NB,PTB,ULX,N,1700,M-3,D-13,W-1,304
TT,RJB,QTX,N,617,M-2,D-25,W-5,862
HL,RPO,MGF,N,1245,M-11,D-30,W-3,505
XJ,VAP,YTL,N,1121,M-2,D-27,W-1,772
NB,ORN,CNY,N,604,M-12,D-7,W-4,611
HH,QTX,PBT,N,1756,M-5,D-15,W-1,36
NB,LHW,IQQ,N,1405,M-6,D-23,W-5,957
I9,PVQ,RJB,N,616,M-7,D-22,W-6,770
NB,IQQ,CNY,Y,1800,M-3,D-10,W-4,925
NB,JQU,QTX,N,1546,M-1,D-25,W-3,714
HL,MQV,MGF,N,1050,M-12,D-11,W-1,335
VK,RMT,ORN,N,1350,M-11,D-27,W-1,601
WT,SBH,RJB,Y,1829,M-8,D-26,W-6,804
BN,OPU,RPO,N,1257,M-5,D-12,W-4,232
NB,ORN,MOL,Y,1925,M-9,D-20,W-3,284
HH,OIS,URX,Y,2048,M-6,D-16,W-4,222
NB,TCZ,RTQ,Y,1655,M-9,D-27,W-2,580
NB,OLV,CNY,N,702,M-1,D-19,W-4,377
TT,PDW,OMH,N,904,M-9,D-29,W-4,1189
HL,DIE,CWI,Y,1615,M-11,D-3,W-5,301
WT,YTR,PJT,N,830,M-4,D-7,W-4,2306
JG,YPH,TVQ,N,1100,M-5,D-6,W-5,406
BN,OJO,GUP,N,1422,M-12,D-8,W-5,369
AG,OPA,MQV,N,1743,M-5,D-12,W-5,651
BN,OPU,TVQ,Y,806,M-1,D-23,W-1,906
HL,MOL,MGF,Y,1220,M-4,D-10,W-7,116
IQ,CNY,TVQ,N,1557,M-1,D-11,W-2,576
HH,RJB,OPH,N,1120,M-11,D-25,W-6,679
IQ,RTA,CNY,N,1659,M-9,D-11,W-7,406
LT,PJT,LBQ,N,852,M-9,D-1,W-5,2677
NB,UGR,CNY,N,2110,M-5,D-31,W-2,328
XJ,OLV,JNS,Y,1142,M-3,D-24,W-4,209
NB,ULX,HBV,N,2210,M-1,D-5,W-4,325
RQ,ULQ,TVQ,N,1134,M-9,D-8,W-4,665
WP,MQV,SHM,N,1525,M-6,D-2,W-4,573
BN,QFT,OPU,Y,2012,M-6,D-20,W-2,1020
TT,RIN,VUT,N,1920,M-6,D-8,W-4,929
NB,QTP,ULX,N,2230,M-8,D-11,W-4,256
TT,HSR,QFT,N,727,M-7,D-6,W-4,733
TT,PVQ,VUT,N,759,M-7,D-15,W-6,869
WP,QTX,MQV,N,2300,M-7,D-2,W-6,2125
JG,OJY,TVQ,N,1325,M-4,D-16,W-6,267
HH,QTX,OHR,N,1159,M-8,D-4,W-5,292
NB,ULX,ULQ,N,847,M-9,D-3,W-7,2075
IQ,TVQ,MTE,N,1235,M-8,D-25,W-4,528
TP,PBT,URX,N,842,M-6,D-17,W-5,859
TT,TWP,RIN,Y,1912,M-3,D-13,W-1,190
TT,PVQ,CHP,N,1120,M-7,D-30,W-7,1046
HH,CIQ,PQM,N,1305,M-9,D-16,W-6,534
C6,IQQ,DIE,N,1008,M-8,D-25,W-5,1069
MH,JNS,CZB,Y,1833,M-4,D-27,W-3,1585
NB,HEM,RTQ,N,1615,M-4,D-16,W-6,181
AG,HSR,OPB,N,1445,M-1,D-22,W-7,109
OZ,HSR,MGF,N,1610,M-2,D-11,W-6,264
RQ,PJT,TVQ,N,615,M-2,D-27,W-7,2182
JG,TVQ,ORN,Y,1333,M-10,D-6,W-5,590
RQ,UCY,QFT,Y,820,M-2,D-13,W-1,1035
HH,QTX,PCU,N,2138,M-8,D-29,W-1,155
WP,MQV,CHP,N,1930,M-6,D-13,W-2,728
MH,PJT,JNS,N,2210,M-5,D-26,W-5,2401
NB,ULX,TCZ,N,1825,M-11,D-20,W-7,328
XJ,SRW,JNS,N,1317,M-1,D-25,W-2,416
XJ,JNS,RVN,N,1108,M-12,D-26,W-1,487
NB,LHW,HEM,Y,836,M-12,D-8,W-5,419
NB,RVN,CBT,N,1612,M-6,D-30,W-5,457
RQ,YTR,PQM,N,725,M-12,D-31,W-7,1827
NB,ORN,SRW,N,755,M-8,D-29,W-1,632
WP,ULQ,RMT,Y,1916,M-7,D-13,W-3,119
HH,PRI,HSR,N,831,M-10,D-23,W-1,286
OZ,RIN,DTB,N,1530,M-4,D-27,W-4,408
OZ,RIN,QSR,Y,2124,M-12,D-19,W-2,394
WP,MQV,ULQ,N,1754,M-2,D-1,W-2,448
RQ,HSR,TVQ,N,1926,M-1,D-18,W-3,606
NB,QTX,POI,N,616,M-7,D-19,W-3,373
NB,HBV,POI,Y,1920,M-3,D-5,W-6,389
WT,JNS,RJB,N,1028,M-7,D-10,W-1,1605
NB,QTP,ORN,Y,1345,M-4,D-27,W-4,1521
RQ,DTX,TVQ,N,737,M-12,D-7,W-4,270
BN,RVN,OJO,N,1515,M-2,D-21,W-1,610
WP,ULQ,HSI,Y,2201,M-1,D-18,W-2,211
OZ,TVQ,HSR,Y,2024,M-7,D-17,W-7,606
NB,VUT,CNY,N,1624,M-11,D-9,W-4,842
WP,MQV,JNS,N,1933,M-8,D-12,W-6,529
OZ,RIN,MYR,N,1221,M-10,D-14,W-6,685
NB,PDM,PTB,N,1446,M-11,D-21,W-2,417
BN,POI,OPU,N,1208,M-3,D-12,W-7,1518
RQ,MGF,PJT,Y,857,M-12,D-17,W-6,1964
NB,ULQ,VUT,N,720,M-1,D-7,W-6,920
XJ,FSS,JNS,N,1705,M-2,D-15,W-3,605
RQ,CBT,TVQ,N,1840,M-8,D-18,W-5,214
TT,RIN,CLO,N,1939,M-8,D-8,W-1,597
TT,RIN,CHP,N,714,M-12,D-16,W-6,1562
NB,QTX,QTP,N,900,M-8,D-15,W-1,236
WT,OPU,HSR,Y,722,M-10,D-17,W-2,334
I9,PIH,RJB,N,1446,M-3,D-7,W-2,967
NB,VWP,QTP,N,1010,M-11,D-17,W-4,365
WT,YTR,PIH,N,906,M-10,D-14,W-5,2419
WT,QTX,RJB,N,603,M-11,D-16,W-4,862
BN,OPU,PJT,N,1435,M-8,D-20,W-7,1399
TT,RTA,RIN,N,637,M-9,D-14,W-3,861
TT,CHP,PDW,Y,1015,M-12,D-21,W-4,1674
OZ,HSR,OPB,N,744,M-8,D-8,W-1,109
WT,OPU,HSR,N,658,M-6,D-29,W-3,334
HH,SBH,PIH,Y,1655,M-8,D-16,W-2,192
WT,HSR,URX,N,1151,M-2,D-27,W-7,1739
WT,RJB,ULQ,N,906,M-7,D-29,W-5,1557
NB,YPU,IQQ,N,635,M-1,D-15,W-6,1093
TP,QTX,FJF,N,2111,M-8,D-11,W-5,945
JG,TVQ,TUI,Y,1535,M-3,D-31,W-4,540
RQ,TVQ,PIH,Y,1441,M-2,D-23,W-3,2139
NB,QTP,CWS,N,1458,M-6,D-24,W-6,223
C6,QTP,DIE,Y,1654,M-2,D-4,W-5,2248
HH,QTX,TCZ,N,2025,M-9,D-2,W-6,677
XJ,JNS,OJO,N,1617,M-8,D-22,W-1,946
AG,IQF,ULX,N,1405,M-1,D-29,W-7,119
NB,PQM,ULX,Y,2126,M-9,D-22,W-4,507
RQ,CKB,PQM,N,818,M-1,D-4,W-2,347
HH,CHY,RJB,N,555,M-9,D-2,W-5,649
RQ,PJT,TVQ,Y,933,M-10,D-7,W-5,2182
WT,QYL,PIH,N,1250,M-4,D-25,W-1,2447
TT,QTX,OYT,N,2132,M-3,D-15,W-2,2342
TT,RIN,ULQ,N,1119,M-9,D-22,W-4,1302
BN,RIN,OPU,N,1902,M-7,D-14,W-4,852
BN,QTP,QTX,N,954,M-7,D-24,W-1,236
OZ,QFT,CHP,Y,1359,M-4,D-17,W-1,185
TT,PDM,RIN,Y,1406,M-12,D-1,W-5,1438
TT,OPU,RIN,N,1340,M-5,D-31,W-3,852
OZ,QTX,PDM,N,1459,M-2,D-10,W-5,308
HL,DIE,SYM,Y,1705,M-12,D-11,W-1,288
OZ,QCC,RIN,N,1632,M-1,D-2,W-7,282
NB,LHW,TCZ,N,1150,M-10,D-9,W-1,759
NB,ULX,TWP,N,1644,M-11,D-29,W-2,872
HH,PQM,OPU,N,811,M-1,D-5,W-4,991
HH,CKB,RJB,Y,752,M-9,D-20,W-3,525
WT,PTB,YTR,Y,1344,M-6,D-21,W-2,2253
WT,PIH,SBH,N,2250,M-3,D-1,W-2,192
TT,TWP,RIN,Y,1929,M-10,D-27,W-4,190
HH,PIH,PCU,N,2025,M-1,D-24,W-1,191
NB,LHW,QTP,Y,2009,M-11,D-28,W-2,1235
IQ,CNY,CHP,Y,954,M-12,D-10,W-6,370
IQ,MTE,CHP,N,641,M-9,D-4,W-1,549
NB,VWQ,RTQ,N,808,M-11,D-2,W-4,237
WP,RMT,TQC,N,1013,M-5,D-27,W-5,318
HL,RMT,MGF,N,1359,M-12,D-9,W-6,411
NB,PJT,ULX,N,745,M-10,D-10,W-2,1107
HH,VNI,PQM,N,1220,M-5,D-17,W-2,175
NB,POI,PTB,N,1530,M-3,D-6,W-7,480
RQ,ULX,TVQ,N,925,M-3,D-27,W-1,1587
HH,RJB,MQJ,N,1225,M-9,D-2,W-5,1201
OZ,VGM,HSR,N,1237,M-6,D-25,W-7,224
JG,TVQ,OJO,Y,1105,M-9,D-18,W-1,332
BN,CHP,RVN,N,841,M-9,D-8,W-4,632
HH,ITV,PIH,N,510,M-2,D-25,W-5,158
TT,QTP,HSR,N,1210,M-4,D-14,W-4,1515
XJ,MQJ,FSS,N,2059,M-12,D-8,W-4,214
I9,RJB,OPU,Y,1944,M-9,D-26,W-2,680
OZ,YTR,HSR,N,1045,M-2,D-16,W-3,589
IQ,CHP,TVQ,N,1133,M-6,D-26,W-7,946
HL,LUB,MGF,N,1759,M-12,D-18,W-1,597
HL,ULQ,MGF,N,1000,M-2,D-25,W-6,507
MH,OIJ,YTL,N,1107,M-4,D-17,W-1,316
NB,TWP,RTQ,N,1142,M-2,D-2,W-4,189
TT,JNS,RIN,N,1130,M-1,D-2,W-1,1372
HH,PQM,MHP,Y,1805,M-8,D-26,W-6,410
RQ,MGF,UGR,N,1915,M-2,D-16,W-3,722
NB,CLO,PRI,N,955,M-8,D-9,W-2,323
BN,OPU,OJO,N,649,M-9,D-10,W-7,700
OZ,RIN,VAS,Y,2143,M-12,D-24,W-7,103
WT,CWI,HSR,N,824,M-6,D-4,W-6,473
JG,PLG,MGF,Y,1400,M-7,D-22,W-5,686
LT,HFF,LBQ,N,1223,M-1,D-4,W-3,100
MH,YTL,PTV,N,751,M-8,D-1,W-2,191
WP,ULQ,VUT,Y,738,M-1,D-25,W-2,920
TT,VUT,HSR,N,1337,M-7,D-21,W-5,1012
AG,MQV,ORV,N,924,M-1,D-1,W-7,413
I9,RJB,PJT,N,832,M-4,D-29,W-6,1024
WP,MQV,RMT,Y,957,M-6,D-27,W-1,331
BN,RVN,UYV,Y,1107,M-8,D-30,W-2,201
HH,QTX,UPU,Y,935,M-3,D-9,W-3,110
HL,MGF,SRW,N,817,M-4,D-25,W-2,390
TT,LBQ,QTX,N,815,M-8,D-23,W-2,2556
XJ,YTL,TOT,N,2053,M-2,D-13,W-7,519
WT,RJB,HOT,N,1530,M-3,D-11,W-5,472
RL,YTR,TVQ,N,827,M-11,D-13,W-7,533
TT,VWQ,RIN,N,658,M-7,D-12,W-2,237
HH,PQM,OPH,N,1102,M-4,D-16,W-6,436
TT,RIN,PQM,N,1717,M-9,D-14,W-4,988
VK,RMT,ORN,N,1353,M-2,D-17,W-4,601
LU,ULX,DIE,N,1008,M-2,D-14,W-1,2153
NB,UGR,ULQ,Y,2100,M-11,D-9,W-3,238
RQ,TVQ,OMH,Y,1325,M-10,D-20,W-5,403
WT,YTR,PDM,N,1740,M-1,D-29,W-6,2400
XJ,YTL,CSH,N,2100,M-12,D-11,W-7,308
TP,PIH,PJT,N,1748,M-9,D-19,W-1,679
RQ,TVQ,MTJ,N,1958,M-3,D-1,W-3,191
BN,RIN,OPU,N,1312,M-11,D-7,W-1,852
XJ,MQJ,ORV,N,1131,M-4,D-18,W-1,280
NB,ULX,HBV,N,2126,M-7,D-23,W-7,325
NB,LHW,IQQ,N,2028,M-9,D-19,W-2,957
WT,QTX,ULQ,Y,2258,M-5,D-4,W-3,2401
TP,TBM,DBW,Y,1437,M-10,D-22,W-6,571
WP,PAS,RMT,N,621,M-10,D-6,W-4,298
NB,OMY,HEM,N,1656,M-8,D-6,W-6,313
MH,YTL,CVS,N,1927,M-6,D-14,W-3,253
WT,HEM,RJB,N,645,M-3,D-23,W-3,495
C6,HBV,DIE,N,1101,M-12,D-31,W-6,2430
NB,QCC,TWP,Y,1800,M-5,D-24,W-3,341
WP,QTP,PBT,N,918,M-9,D-22,W-5,226
BN,OPA,RVN,N,855,M-2,D-8,W-2,926
NB,QTP,POI,N,639,M-12,D-20,W-3,397
OZ,CHP,DIE,Y,1422,M-8,D-4,W-5,187
NB,ULQ,OLV,Y,1320,M-4,D-27,W-3,290
TT,RVN,RIN,N,1108,M-8,D-24,W-3,987
NB,LHW,LSQ,N,735,M-8,D-1,W-1,276
NB,ORN,ULX,Y,2238,M-8,D-21,W-1,1444
NB,CNY,CBT,N,1205,M-1,D-19,W-4,588
WP,ULQ,ULX,Y,1912,M-5,D-26,W-5,2075
IQ,TVQ,JNS,N,1700,M-12,D-6,W-3,745
BN,OPU,SPN,N,1015,M-6,D-17,W-5,1416
WP,MQV,CNY,N,924,M-2,D-2,W-4,361
NB,LHW,CNY,Y,1335,M-6,D-13,W-2,1246
HL,MGF,HEM,N,1734,M-2,D-15,W-2,756
RQ,QTX,MOL,N,2340,M-3,D-16,W-4,1996
WT,MOL,HSR,N,1054,M-6,D-28,W-3,296
WP,RJB,ULQ,N,1409,M-2,D-12,W-6,1557
NB,ULX,PTB,N,1030,M-7,D-6,W-3,304
OZ,TMV,RIN,N,931,M-11,D-4,W-6,89
OZ,CNY,CHP,N,924,M-9,D-26,W-2,370
TP,HOJ,TBM,N,2141,M-3,D-8,W-2,539
RQ,PBT,TVQ,N,1334,M-3,D-7,W-1,1919
XJ,YTL,MSU,N,913,M-12,D-28,W-4,201
HH,RJB,FDV,N,1604,M-10,D-19,W-3,212
BN,OYT,OJO,N,1552,M-2,D-5,W-6,860
OZ,HSR,RCZ,N,2059,M-10,D-1,W-7,147
IQ,TVQ,OJO,N,1402,M-1,D-12,W-3,332
NB,VUT,CWI,N,1316,M-4,D-29,W-6,1054
OZ,HSR,VWQ,N,821,M-5,D-10,W-3,585
RQ,MGF,TVQ,Y,954,M-10,D-14,W-5,373
NB,HEM,QTP,Y,1445,M-2,D-23,W-4,987
TT,RIN,OPU,N,1041,M-3,D-19,W-7,852
XJ,VAP,YTL,N,704,M-2,D-17,W-5,772
JG,TVQ,FUV,Y,2018,M-5,D-31,W-2,352
BN,RVN,IQQ,N,2113,M-7,D-29,W-5,1127
WP,RMT,UYV,Y,747,M-3,D-26,W-6,205
HL,CHP,DIE,N,1214,M-11,D-4,W-5,187
TT,OYT,HSR,N,1202,M-3,D-19,W-6,1197
XJ,OHC,YTL,N,1810,M-12,D-30,W-5,427
TT,QFT,OYT,N,559,M-10,D-2,W-7,1097
NB,PVQ,ULX,N,909,M-7,D-12,W-3,1262
TT,RIN,PVQ,N,638,M-10,D-27,W-4,551
BN,FSS,RVN,N,1148,M-2,D-26,W-6,120
BN,OPU,PJT,N,1728,M-8,D-29,W-2,1399
HH,JWF,RJB,N,557,M-9,D-13,W-2,997
TP,ULX,PJT,N,1533,M-7,D-1,W-5,1107
OZ,VAP,RIN,N,1531,M-3,D-13,W-1,772
LU,ULX,FJF,N,2051,M-10,D-31,W-1,1020
TT,HEM,RIN,N,657,M-5,D-2,W-2,175
HH,PIH,POI,N,1054,M-8,D-5,W-5,86
RQ,TVQ,OHC,N,2110,M-1,D-4,W-3,302
TT,RIN,PBT,Y,2142,M-11,D-27,W-7,1205
TT,RIN,YMV,N,1653,M-5,D-31,W-3,328
RQ,CHP,PQM,N,656,M-9,D-16,W-6,2105
HH,RJB,PFI,N,1013,M-4,D-3,W-1,637
WT,QFT,HSR,N,1357,M-1,D-16,W-7,733
JG,OQY,TVQ,Y,1508,M-9,D-23,W-6,633
AG,QBE,HSR,N,1420,M-3,D-11,W-6,466
TP,URX,PBT,N,1358,M-10,D-2,W-1,859
RQ,OMH,TVQ,N,527,M-4,D-5,W-2,403
TT,VWP,RIN,N,930,M-8,D-12,W-5,813
MH,IQQ,JNS,N,813,M-1,D-1,W-7,1065
TT,RIN,PIH,N,2132,M-9,D-10,W-7,1464
WP,RMT,VUT,N,852,M-7,D-15,W-6,814
TT,RIN,POI,Y,944,M-12,D-24,W-7,1431
WP,ULQ,SRW,N,1549,M-5,D-3,W-3,336
TT,MHP,RIN,Y,834,M-7,D-16,W-6,592
BN,SPV,OPU,N,651,M-5,D-11,W-4,76
RQ,PIH,TVQ,Y,30,M-8,D-25,W-5,2139
OZ,RIN,QSR,N,2045,M-3,D-11,W-6,394
LT,HFF,LBQ,N,944,M-6,D-17,W-6,100
OZ,MGF,HSR,N,1901,M-12,D-23,W-6,264
I9,OMY,RJB,N,1809,M-10,D-14,W-5,533
NB,POI,PTB,Y,1740,M-8,D-5,W-5,480
WT,RJB,URX,N,1113,M-3,D-29,W-3,992
LT,EHT,LBQ,N,832,M-6,D-11,W-7,163
WP,MQV,UYV,N,916,M-9,D-12,W-1,366
HH,HSR,CVG,Y,1004,M-9,D-18,W-7,763
NB,POI,PTB,N,822,M-11,D-12,W-7,480
IQ,OPA,TVQ,N,600,M-1,D-3,W-1,425
HH,PQM,OPU,N,821,M-3,D-22,W-2,991
TT,OYT,QTX,N,814,M-11,D-18,W-6,2342
NB,CWS,QTP,N,700,M-5,D-23,W-2,223
JG,TVQ,TUI,N,2004,M-10,D-22,W-6,540
RQ,TVQ,OMY,N,1336,M-11,D-20,W-1,692
WT,QTX,LBQ,N,1658,M-9,D-5,W-1,2556
AG,UYV,YTR,Y,1155,M-7,D-7,W-5,183
MH,IQQ,YTL,N,915,M-7,D-25,W-1,965
HH,QTX,ITV,N,1927,M-3,D-17,W-4,209
NB,CNY,OLV,N,925,M-2,D-10,W-4,377
HL,CHP,CNY,N,1444,M-8,D-7,W-1,370
BN,TVQ,OPU,N,1126,M-1,D-9,W-7,906
JG,TFP,TVQ,N,805,M-6,D-20,W-2,143
IQ,CHP,ULI,N,848,M-1,D-11,W-2,464
WT,PIH,CHP,N,845,M-7,D-10,W-7,2704
BN,OPH,OPU,N,848,M-6,D-10,W-6,1013
TP,QTX,URX,N,1613,M-12,D-13,W-3,834
MH,YTL,MQJ,N,1541,M-7,D-19,W-3,1091
HH,QTX,POI,N,1640,M-8,D-11,W-4,373
BN,RJB,OPU,N,1633,M-6,D-2,W-4,680
WT,HSR,RVN,N,1545,M-9,D-21,W-3,235
TP,QTX,PJT,N,1350,M-8,D-21,W-1,954
RQ,TVQ,SRW,N,1756,M-1,D-25,W-3,356
C6,OMH,CHP,N,1723,M-6,D-10,W-5,1121
NB,CRQ,CNY,N,825,M-3,D-22,W-3,283
RL,YTR,OMH,N,1928,M-5,D-31,W-2,758
NB,QTX,PDM,N,1138,M-8,D-10,W-4,308
NB,QTP,ULX,Y,1229,M-10,D-9,W-7,256
WT,HSR,RMT,N,556,M-6,D-17,W-5,612
HL,MGF,IPR,N,1335,M-2,D-21,W-1,701
NB,HTE,PTB,N,1033,M-10,D-25,W-3,446
TT,QTX,JNS,N,2205,M-3,D-26,W-6,2454
TT,OYT,TVQ,Y,1736,M-3,D-19,W-7,595
TT,XBT,HSR,Y,1813,M-5,D-1,W-1,522
TP,PJT,ULX,Y,1119,M-1,D-11,W-2,1107
HH,JEH,PQM,N,1807,M-3,D-12,W-7,200
MH,YTL,PTV,N,1027,M-9,D-2,W-6,191
TT,RVN,HSR,N,709,M-5,D-22,W-7,235
XJ,MQJ,PAS,N,1513,M-12,D-23,W-5,317
RQ,POI,TVQ,N,700,M-8,D-8,W-2,2092
TT,PIH,QTX,Y,1644,M-9,D-9,W-5,337
NB,PTV,RTQ,N,1209,M-12,D-22,W-5,248
XJ,YTL,CLO,N,811,M-11,D-19,W-7,562
JG,CZE,TVQ,N,1133,M-5,D-30,W-2,238
WT,PIH,HSR,N,604,M-12,D-17,W-7,1846
TT,RIN,CHP,N,630,M-8,D-27,W-6,1562
RQ,CNY,TVQ,Y,944,M-8,D-9,W-2,576
RQ,MLP,TVQ,N,1552,M-12,D-5,W-2,259
NB,QTX,ULX,N,1736,M-8,D-8,W-2,370
